produit	libellé	origine	résumé	description	prix TTC	grammage	conditionnement	TVA	réference	Photos	Temps d'infusion 	Température	Quantité/L	Non actif
Girl Power bio	Thé blanc. Saveur vanille-rose	Chine	On retrouve dans ce mélange trois thés de grande qualité. Ce thé vous suprendra par sa douceur sauvage et paradisiaque. Il dégage des parfums de fleurs soutenus par une note de vanille. Un régal onctueux et délicat qui restera longuement en bouche.	Thé blanc Pai Mu Tan*, thé vert China Chun Mee*, thé blanc Mao Feng*, raisin (raisin, huile végétale)*, arôme naturel, pétales de rose* (2%), bourbon vanille* (1%). *Issu de l'agriculture biologique.	"15.95€
8.00€"	"100gr
50gr"	sachet kraft	5.50%	TBA02		2 mn	60-65°C	12-15g/L	0
Une infusion de very-thé (infusion)														
Près des étoiles bio	Infusion 		Cette tisane légérement parfumée est idéale pour le soir. Sa saveur subtile vous donnera douceur et plaisir à la dégustation.	Tisane pour le soir BIO. Pomme*, citronnelle*, menthe*, hibiscus*, écorces d'orange*, racine de réglisse*. *Issu de l'agriculture biologique.	"7.90€
4.00€"	"100gr
50gr"	sachet kraft	5,50 %	T004	pres_des_etoiles_bio_sachet.jpg	7-10 mn	100°C	12-15g/L	
L'Ooorange bio	Infusion. Saveur orange		Cette boisson fruitée, depourvue de caféine est très désalterante. Elle est idéale pour l'après midi. À la fraicheur de l'infusion, vient s'ajouter une toûche mielleuse grâce au Rooibos. Se déguste tout au long de l'année sur les pistes de ski comme sur les bords de mer.	Infusion, saveur orange. Carotte*, gingembre*, écorces d'orange*, Rooibos naturel*, pomme*, feuilles de mûre*, gingembre (gingembre, sucre de canne brut)*, arôme naturel, menthe poivrée*, verveine entière*, passiflore*, fleurs de bleuet*. *Issu de l'agriculture biologique. 	"9.90€
5.00€"	"100gr
50gr"	sachet kraft	5,50 %	T001	"l'ooorange_bio_sachet.jpg
l'ooorange_bio_vrac.jpg"	10-12 mn	100°C	15-20g/L	
Soleil des tropiques bio	Infusion. Saveur grenade-mangue.		Délicieux mélange de saveurs fruitées évoquant des fruits juteux et gourmands. Le côté mielleux du Rooibos mêlé à la passion de ces fruits. À consommer à toute heure de la journée.	Infusion, saveur grenade-mangue. Pomme*, citronnelle*, Rooibos naturel*, raisin (raisin, huile vegetale)*, cynorrhodon*, arome naturel, fleurs de souci*, grenade* (2%), mangue* (1%), petales de rose*. *Issu de l'agriculture biologique. 	"8.90€
4.50€"	"100gr
50gr"	sachet kraft	5,50 %	IF002	"soleil_des_tropiques_bio_sachet.jpg
soleil_des_tropiques_bio_vrac.jpg"	10-12 mn	100°C	15-20g/L	
L'aromatique bio	Infusion. Saveur romarin-thym-citron.		Cette infusion à la douceur et au parfum de la Provence vous offrira de belles balades gustatives. Des plantes apaisantes avec des qualités digestives ; cette infusion est idéale après les repas.	Infusion, saveur romarin-thym-citron. Citronnelle*, batons de cannelle*, feuilles d'olivier*, verveine entière*, romarin*, thym*, arôme naturel, lavande*, fleurs de tilleul*. *Issu de l'agriculture biologique. 	"9.90€
5.00€"	"100gr
50gr"	sachet kraft	5,50 %	T002	"l_aromatique_bio_sachet.jpg
l_aromatique_bio_vrac.jpg"	10-12 mn	100°C	15-20g/L	
Grand boum bio	Infusion. Saveur citron-orange sanguine		Mélange vivifiant qui ravivera vos papilles. Un petit régal qui viendra rafraichir votre coeur.	Infusion, saveur citron-orange sanguine. Pomme*, raisin (raisin, huile vegetale)*, coing*, citronnelle*, verveine entière*, batons de cannelle*, écorces d'orange*, arôme naturel, morceaux de pomme*, passiflore*, baies de goji*, physalis*, pétales de rose*. *Issu de l'agriculture biologique.	"10.00€
5.20€"	"100gr
50gr"	sachet kraft	5,50 %	IF003	"grand_boum_bio_sachet.jpg
grand_boum_bio_vrac.jpg"	7-10 mn	100°C	15-20g/L	
Mon lutin des bois bio	Infusion. Saveur citron-baies sauvages		Cette infusion qui accueille le citron dans ces sous bois donne une étonnante émotion gustative. Les baies sauvages viennent adoucir l'acidité du citron. Une belle balade sauvage en tasse.	Infusion, saveur citron-baies sauvages. Pomme*, Rooibos vert*, verveine*, arôme naturel, écorces d'orange*, fleurs de souci*, verveine entière*, feuilles de mûre*, framboise*, passiflore*, cassis*. *Issu de l'agriculture biologique. 	"9.90€
5.00€"	"100gr
50gr"	sachet kraft	5,50 %	T003	"mon_lutin_des_bois_bio_sachet.jpg
mon_lutin_des_bois_bio_vrac.jpg"	7-10 mn	100°C	15-20g/L	
T'Crepe bio	Infusion. Saveur fleurs d'oranger		Cette infusion à la fleur, aux innombrables vertus et au parfum envoutant vous rappellera de beaux souvenirs d'enfance. Apaisante, elle est idéale pour le soir.	Infusion, saveur fleurs d'oranger. Pomme*, verveine*, citronnelle*, verveine entière*, écorces d'orange*, batons de cannelle*, arome naturel. *Issu de l'agriculture biologique. 	"10.90€
5.90€"	"100gr
50gr"	sachet kraft	5,50 %	IF001	"t_crepe_bio_sachet.jpg
t_crepe_bio_vrac.jpg"	7-10 mn	100°C	12-15g/L	
La barbarie bio	Infusion. Saveur figue de barbarie-abricot		Ce breuvage est une explosion fruitée. Une infusion gourmande, unique et vivifiante. 	Infusion, saveur figue de babarie-abricot. Pomme*, coing*, cinorrhodon*, figue (figue, farine de riz)* (11%), papaye*, écorces de citron*, arôme naturel, griotte*. *Issu de l'agriculture biologique.	"9.70€
4.90€"	"100gr
50gr"	sachet kraft	5,50 %	IF004	"la_barbarie_bio_sachet.jpg
la_barbarie_bio_vrac.jpg
"	10-12 mn	100°C	15-20g/L	
